path,status,ttfb_ms,bytes,title_len,desc_len,words,h1,jsonld,inbound_links,hreflang_tags
/pt/casino-slots/,200,134,7318,22,155,155,1,WebSite,24,8
/pt/contacts/,200,112,5505,17,106,81,1,WebSite,24,8
/pt/faq/,200,126,6868,28,43,258,1,WebSite,24,8
/pt/lottery-esports/,200,105,6616,26,142,116,1,WebSite,24,8
/pt/poker-table-games/,200,311,6601,30,124,128,1,WebSite,24,8
/pt/privacy/,200,69,6013,31,51,149,1,WebSite,24,8
/pt/sports-betting/,200,151,6456,27,128,95,1,WebSite,24,8
/pt/terms/,200,74,6188,28,49,187,1,WebSite,24,8
/ru/,200,93,12297,66,103,339,1,WebSite,24,8
/ru/about/,200,54,7820,17,149,143,1,WebSite,24,8
/ru/articles/bankroll-management/,200,353,9787,47,131,214,1,WebSite,8,8
/ru/articles/blackjack-basic-strategy/,200,100,9945,63,131,236,1,WebSite,8,8
/ru/articles/esports-betting-basics/,200,98,10358,74,126,261,1,WebSite,8,8
/ru/articles/football-betting-basics/,200,92,9764,67,108,213,1,WebSite,8,8
/ru/articles/how-to-choose-casino/,200,83,9623,55,106,238,1,WebSite,8,8
/ru/articles/how-to-develop-igaming-slots%E2%81%A0/,200,315,14173,90,160,421,1,WebSite,0,8
/ru/articles/lottery-formats-overview/,200,134,10028,68,132,223,1,WebSite,8,8
/ru/articles/poker-formats-guide/,200,125,9495,66,135,243,1,WebSite,8,8
/ru/articles/wagering-explained/,200,96,9004,43,127,201,1,WebSite,8,8
/ru/casino-slots/,200,99,8459,22,155,134,1,WebSite,24,8
/ru/contacts/,200,102,6501,16,96,72,1,WebSite,24,8
/ru/faq/,200,105,8364,22,36,208,1,WebSite,24,8
/ru/lottery-esports/,200,126,7776,28,132,96,1,WebSite,24,8
/ru/poker-table-games/,200,423,7689,30,110,102,1,WebSite,24,8
/ru/privacy/,200,104,7388,35,48,127,1,WebSite,24,8
/ru/sports-betting/,200,110,7608,25,122,81,1,WebSite,24,8
/ru/terms/,200,122,7729,29,52,132,1,WebSite,24,8
